,num,Time,tx,ty,traj_tx,traj_ty
0,-599999.0,0.0,2.197600431196119,-8.052502549105277,2.1976004311961135,-8.0525
1,-599998.0,0.01,2.197592563682288,-8.05250226862639,2.1975896898531704,-8.0525
2,-599997.0,0.02,2.1975742991666394,-8.052501458552351,2.197566376971893,-8.0525
3,-599996.0,0.03,2.1975476322256564,-8.052500133840148,2.1975336792627065,-8.0525
4,-599995.0,0.04,2.1975194749453983,-8.052498328123587,2.1974997191505428,-8.0525
5,-599994.0,0.05,2.1974974863358323,-8.052496079700978,2.1974730390416153,-8.0525
6,-599993.0,0.06,2.197489286254233,-8.052493429158922,2.197462412094145,-8.0525
7,-599992.0,0.07,2.1975024717932863,-8.05249041408744,2.197476204016669,-8.0525
8,-599991.0,0.08,2.197544668646915,-8.052487095316259,2.1975234220387874,-8.0525
9,-599990.0,0.09,2.197623541526343,-8.052483585453162,2.1976125691980597,-8.0525
10,-599989.0,0.1,2.1977467625020033,-8.052480053244023,2.1977521144927192,-8.0525
11,-599988.0,0.11,2.197921975276471,-8.052476707177226,2.197950336844892,-8.0525
12,-599987.0,0.12,2.198156769014103,-8.052473757344988,2.1982153070966763,-8.0525
13,-599986.0,0.13,2.19845866846441,-8.052471360366784,2.1985548940535846,-8.0525
14,-599985.0,0.14,2.1988351378789712,-8.052469563453462,2.1989767805714022,-8.0525
15,-599984.0,0.15,2.1992935912890665,-8.052468273935066,2.199488476248692,-8.0525
16,-599983.0,0.16,2.1998414016743473,-8.052467280935552,2.2000973189293633,-8.0525
17,-599982.0,0.17,2.200485905009203,-8.052466337341883,2.2008104636601318,-8.0525
18,-599981.0,0.18,2.2012330139600302,-8.052465274874876,2.2016330725964273,-8.0525
19,-599980.0,0.19,2.2020846965036207,-8.052464090334688,2.2025664426044362,-8.0525
20,-599979.0,0.2,2.203044614683408,-8.052462917706634,2.2036136545003373,-8.0525
21,-599978.0,0.21,2.204118889418445,-8.052461904567556,2.204780168065031,-8.0525
22,-599977.0,0.22,2.2053153960476086,-8.052461094721842,2.2060731929424926,-8.0525
23,-599976.0,0.23,2.2066430125588874,-8.052460412544137,2.207500888520799,-8.0525
24,-599975.0,0.24,2.2081109171503726,-8.052459764560409,2.209071584726052,-8.0525
25,-599974.0,0.25,2.209728096603292,-8.052459156028512,2.2107932633958276,-8.0525
26,-599973.0,0.26,2.211503130167135,-8.05245869258223,2.2126733853385994,-8.0525
27,-599972.0,0.27,2.213444179096754,-8.052458460808435,2.214718965329967,-8.0525
28,-599971.0,0.28,2.215559059013267,-8.052458434697414,2.216936726047177,-8.0525
29,-599970.0,0.29,2.217855308835806,-8.052458528357521,2.219333217324894,-8.0525
30,-599969.0,0.3,2.220340233755047,-8.052458712885198,2.2219148918417186,-8.0525
31,-599968.0,0.31,2.223020940683034,-8.052459018430635,2.2246882953170815,-8.0525
32,-599967.0,0.32,2.225904356521201,-8.052459438850294,2.2276601245524867,-8.0525
33,-599966.0,0.33,2.228997238218948,-8.052459922143186,2.230837111359895,-8.0525
34,-599965.0,0.34,2.2323062076803395,-8.052460429883508,2.2342260729579637,-8.0525
35,-599964.0,0.35000000000000003,2.2358377858706437,-8.052460961888542,2.2378339931735636,-8.0525
36,-599963.0,0.36,2.2395984102116495,-8.05246153080937,2.241668033128553,-8.0525
37,-599962.0,0.37,2.2435944394992804,-8.052462134163962,2.2457354745400586,-8.0525
38,-599961.0,0.38,2.247832155599372,-8.052462752912978,2.2500436396010617,-8.0525
39,-599960.0,0.39,2.2523177657369424,-8.052463365885394,2.254599818565871,-8.0525
40,-599959.0,0.4,2.257057404190924,-8.052463959446193,2.2594112137632347,-8.0525
41,-599958.0,0.41000000000000003,2.2620573698068673,-8.05246452551587,2.264485259838146,-8.0525
